genome	genus
Polaromonas_sp._RYN_562_GCA_028292345.1.fasta	Polaromonas
Polaromonas_sp._RYN_574_GCA_028292045.1.fasta	Polaromonas
Polaromonas_sp._RYN_579_GCA_028291985.1.fasta	Polaromonas
Polaromonas_sp._RYN_585_GCA_028291905.1.fasta	Polaromonas
Polaromonas_sp._RYN_586_GCA_028291865.1.fasta	Polaromonas
Polaromonas_sp._SM01_GCA_033446725.1.fasta	Polaromonas
Polaromonas_sp._SMAG_U11085_GCA_035638815.1.fasta	Polaromonas
Polaromonas_sp._SMAG_U4641_GCA_036506595.1.fasta	Polaromonas
Polaromonas_sp._SOY_38_metabat_66_GCA_031396485.1.fasta	Polaromonas
Polaromonas_sp._Sample-102-S76-bin-189_GCA_040381515.1.fasta	Polaromonas
Polaromonas_sp._UBA10861_GCA_003454315.1.fasta	Polaromonas
Polaromonas_sp._UBA4122_UBA4122_GCA_002381615.1.fasta	Polaromonas
Polaromonas_sp._UBA5171_UBA5171_GCA_002413395.1.fasta	Polaromonas
Polaromonas_sp._UC242_47_UC242_47_GCA_044452385.1.fasta	Polaromonas
Polaromonas_sp._VAR_17_metabat_362_GCA_031412235.1.fasta	Polaromonas
Polaromonas_sp._VAR_18_metabat_307_GCA_031411155.1.fasta	Polaromonas
Polaromonas_sp._VAR_25_metabat_291_GCA_031410335.1.fasta	Polaromonas
Polaromonas_sp._VAR_34_metabat_240_GCA_031409395.1.fasta	Polaromonas
Polaromonas_sp._VAR_34_metabat_99_GCA_031414215.1.fasta	Polaromonas
Polaromonas_sp._VAR_35_metabat_389_GCA_031417995.1.fasta	Polaromonas
Polaromonas_sp._VAR_35_metabat_51_GCA_031417695.1.fasta	Polaromonas
Polaromonas_sp._VAR_45_metabat_307_GCA_031419775.1.fasta	Polaromonas
Polaromonas_sp._VAR_48_metabat_346_GCA_031422575.1.fasta	Polaromonas
Polaromonas_sp._VAR_61_metabat_80_GCA_031424935.1.fasta	Polaromonas
Polaromonas_sp._VAR_69_concoct_353_sub_GCA_031424555.1.fasta	Polaromonas
Polaromonas_sp._VAR_69_metabat_82_GCA_031423655.1.fasta	Polaromonas
Polaromonas_sp._VAR_78_metabat_344_GCA_031431575.1.fasta	Polaromonas
Polaromonas_sp._VAR_87_metabat_250_GCA_031427595.1.fasta	Polaromonas
Polaromonas_sp._VAR_87_metabat_80_GCA_031427075.1.fasta	Polaromonas
Polaromonas_sp._YR568_GCA_900116715.1.fasta	Polaromonas
Polaromonas_sp._YR568_GCA_945860515.1.fasta	Polaromonas
Polaromonas_sp._YR568_GCA_945867705.1.fasta	Polaromonas
Polaromonas_sp._YR568_GCA_945871335.1.fasta	Polaromonas
Polaromonas_sp._YR568_GCA_945878265.1.fasta	Polaromonas
Polaromonas_sp._YR568_GCA_945878995.1.fasta	Polaromonas
Polaromonas_sp._YR568_GCA_945881975.1.fasta	Polaromonas
Polaromonas_sp._YR568_GCA_945896805.1.fasta	Polaromonas
Polaromonas_sp._YR568_GCA_945907175.1.fasta	Polaromonas
Polaromonas_sp._YR568_JJ-ME644-99-2-m1-bin335_GCA_943371765.1.fasta	Polaromonas
Polaromonas_sp._YR568_JJ-MEM5D2-223-4-m1-bin343_GCA_943371715.1.fasta	Polaromonas
Polaromonas_sp._YR568_JJ-MO2C4-301-2-mx-bin692_GCA_943372955.1.fasta	Polaromonas
Polaromonas_sp._b69_HoplandSoilSeptJan_GCA_021153985.1.fasta	Polaromonas
Polaromonas_sp._bin.87_GCA_013205645.1.fasta	Polaromonas
Polaromonas_sp._cluster1_bin.8_GCA_039925285.1.fasta	Polaromonas
Polaromonas_sp._cluster3_bin.188_GCA_039932935.1.fasta	Polaromonas
Polaromonas_sp._cluster3_bin.291_GCA_039930745.1.fasta	Polaromonas
Polaromonas_sp._cluster4_bin.192_GCA_040004635.1.fasta	Polaromonas
Polaromonas_sp._concoct.226.WLB_GCA_041689105.1.fasta	Polaromonas
Polaromonas_sp._nzgw554_GCA_023259235.1.fasta	Polaromonas
Polaromonas_vacuolata_KCTC_22033_GCA_012584515.1.fasta	Polaromonas
icacos_2019_sw_WHONDRS-S19S_0094_B_bin.144.fasta	Polaromonas
ice_MAG_1.fasta	Polaromonas
ice_MAG_100.fasta	Polaromonas
ice_MAG_119.fasta	Polaromonas
ice_MAG_121.fasta	Polaromonas
ice_MAG_15.fasta	Polaromonas
ice_MAG_153.fasta	Polaromonas
ice_MAG_154.fasta	Polaromonas
ice_MAG_197.fasta	Polaromonas
ice_MAG_2.fasta	Polaromonas
ice_MAG_20.fasta	Polaromonas
ice_MAG_200.fasta	Polaromonas
ice_MAG_206.fasta	Polaromonas
ice_MAG_25.fasta	Polaromonas
ice_MAG_28.fasta	Polaromonas
ice_MAG_29.fasta	Polaromonas
ice_MAG_30.fasta	Polaromonas
ice_MAG_33.fasta	Polaromonas
ice_MAG_37.fasta	Polaromonas
ice_MAG_50.fasta	Polaromonas
ice_MAG_51.fasta	Polaromonas
ice_MAG_62.fasta	Polaromonas
ice_MAG_76.fasta	Polaromonas
ice_MAG_79.fasta	Polaromonas
ice_MAG_83.fasta	Polaromonas
ice_MAG_89.fasta	Polaromonas
ice_MAG_94.fasta	Polaromonas
river_bin_metabat_1523.fasta	Polaromonas
river_bin_metabat_1556.fasta	Polaromonas
river_metabat_ad.2212.fasta	Polaromonas
river_metabat_ad.2894.fasta	Polaromonas
river_metabat_ad.3037.fasta	Polaromonas
river_metabat_ad.481.fasta	Polaromonas
river_metabinner_orig_365.fasta	Polaromonas
uncultured_Polaromonas_sp._GCA_946479075.1.fasta	Polaromonas
