sampleId	parsedLat	parsedLon	latFieldLabel	latFieldOriginalValue	lonFieldLabel	lonFieldOriginalValue
SRS6061843	68.35897	18.48364	sample_lat_lon	68.35897 N 18.48364 E	sample_lat_lon	68.35897 N 18.48364 E
SRS5592210	-33.882845	151.200763	sample_lat_lon	33.882845 S 151.200763 E	sample_lat_lon	33.882845 S 151.200763 E
SRS5592211	-33.882845	151.200763	sample_lat_lon	33.882845 S 151.200763 E	sample_lat_lon	33.882845 S 151.200763 E
SRS5592212	-33.882845	151.200763	sample_lat_lon	33.882845 S 151.200763 E	sample_lat_lon	33.882845 S 151.200763 E
SRS5592213	-33.882845	151.200763	sample_lat_lon	33.882845 S 151.200763 E	sample_lat_lon	33.882845 S 151.200763 E
SRS5592214	-33.882845	151.200763	sample_lat_lon	33.882845 S 151.200763 E	sample_lat_lon	33.882845 S 151.200763 E
SRS5592215	-33.882845	151.200763	sample_lat_lon	33.882845 S 151.200763 E	sample_lat_lon	33.882845 S 151.200763 E
SRS5592216	-33.882845	151.200763	sample_lat_lon	33.882845 S 151.200763 E	sample_lat_lon	33.882845 S 151.200763 E
SRS5592217	-33.882845	151.200763	sample_lat_lon	33.882845 S 151.200763 E	sample_lat_lon	33.882845 S 151.200763 E
SRS5592218	-33.882845	151.200763	sample_lat_lon	33.882845 S 151.200763 E	sample_lat_lon	33.882845 S 151.200763 E
SRS5592219	-33.882845	151.200763	sample_lat_lon	33.882845 S 151.200763 E	sample_lat_lon	33.882845 S 151.200763 E
SRS5602933	51.3	-0.7	sample_lat_lon	51.30 N 0.7 W	sample_lat_lon	51.30 N 0.7 W
SRS5602934	51.3	-0.7	sample_lat_lon	51.30 N 0.7 W	sample_lat_lon	51.30 N 0.7 W
SRS5602939	51.3	-0.7	sample_lat_lon	51.30 N 0.7 W	sample_lat_lon	51.30 N 0.7 W
SRS5602942	51.3	-0.7	sample_lat_lon	51.30 N 0.7 W	sample_lat_lon	51.30 N 0.7 W
SRS5602943	51.3	-0.7	sample_lat_lon	51.30 N 0.7 W	sample_lat_lon	51.30 N 0.7 W
SRS5649230	68.6125	161.35	sample_lat_lon	68.612500 N 161.350000 E	sample_lat_lon	68.612500 N 161.350000 E
SRS5860912	54.37	78.13	sample_lat_lon	54.37 N 78.13 E	sample_lat_lon	54.37 N 78.13 E
SRS5887964	37.4316	-78.6569	sample_lat_lon	37.4316 N 78.6569 W	sample_lat_lon	37.4316 N 78.6569 W
SRS5966856	64.33113	-96.00263	sample_lat_lon	64.33113 N 96.00263 W	sample_lat_lon	64.33113 N 96.00263 W
SRS5966859	64.336836	-96.016599	sample_lat_lon	64.336836 N 96.016599 W	sample_lat_lon	64.336836 N 96.016599 W
SRS5966881	64.336836	-96.016599	sample_lat_lon	64.336836 N 96.016599 W	sample_lat_lon	64.336836 N 96.016599 W
SRS5981292	35.2833	81.4833	sample_lat_lon	35.2833 N 81.4833 E	sample_lat_lon	35.2833 N 81.4833 E
SRS5981293	35.2833	81.4833	sample_lat_lon	35.2833 N 81.4833 E	sample_lat_lon	35.2833 N 81.4833 E
SRS6123598	-1.64	29.05	sample_lat_lon	1.64 S 29.05 E	sample_lat_lon	1.64 S 29.05 E
SRS6199292	33.94	102.83	sample_lat_lon	33.94 N 102.83 E	sample_lat_lon	33.94 N 102.83 E
SRS6529448	35.2833	81.4833	sample_lat_lon	35.2833 N 81.4833 E	sample_lat_lon	35.2833 N 81.4833 E
SRS6529607	35.2833	81.4833	sample_lat_lon	35.2833 N 81.4833 E	sample_lat_lon	35.2833 N 81.4833 E
SRS6529668	35.2833	81.4833	sample_lat_lon	35.2833 N 81.4833 E	sample_lat_lon	35.2833 N 81.4833 E
SRS6529679	35.2833	81.4833	sample_lat_lon	35.2833 N 81.4833 E	sample_lat_lon	35.2833 N 81.4833 E
SRS6529771	35.2833	81.4833	sample_lat_lon	35.2833 N 81.4833 E	sample_lat_lon	35.2833 N 81.4833 E
SRS6688630	32.7619	77.3334	sample_lat_lon	32.7619 N 77.3334 E	sample_lat_lon	32.7619 N 77.3334 E
SRS6688637	32.7589	77.3277	sample_lat_lon	32.7589 N 77.3277 E	sample_lat_lon	32.7589 N 77.3277 E
SRS6700561	65.848363	22.290987	sample_lat_lon	65.848363 N 22.290987 E	sample_lat_lon	65.848363 N 22.290987 E
SRS6700562	65.835245	22.343002	sample_lat_lon	65.835245 N 22.343002 E	sample_lat_lon	65.835245 N 22.343002 E
SRS6700563	65.828455	22.421703	sample_lat_lon	65.828455 N 22.421703 E	sample_lat_lon	65.828455 N 22.421703 E
SRS6700564	65.809137	22.370167	sample_lat_lon	65.809137 N 22.370167 E	sample_lat_lon	65.809137 N 22.370167 E
SRS6700565	65.810675	22.386503	sample_lat_lon	65.810675 N 22.386503 E	sample_lat_lon	65.810675 N 22.386503 E
SRS6700566	65.812562	22.405057	sample_lat_lon	65.812562 N 22.405057 E	sample_lat_lon	65.812562 N 22.405057 E
SRS6700567	65.816017	22.43175	sample_lat_lon	65.816017 N 22.431750 E	sample_lat_lon	65.816017 N 22.431750 E
SRS6700568	65.799025	22.378682	sample_lat_lon	65.799025 N 22.378682 E	sample_lat_lon	65.799025 N 22.378682 E
SRS6700569	65.799587	22.409728	sample_lat_lon	65.799587 N 22.409728 E	sample_lat_lon	65.799587 N 22.409728 E
SRS6700570	65.798873	22.43525	sample_lat_lon	65.798873 N 22.435250 E	sample_lat_lon	65.798873 N 22.435250 E
SRS6700571	65.800187	22.454638	sample_lat_lon	65.800187 N 22.454638 E	sample_lat_lon	65.800187 N 22.454638 E
SRS6700573	65.839367	22.36995	sample_lat_lon	65.839367 N 22.369950 E	sample_lat_lon	65.839367 N 22.369950 E
SRS6700584	65.8249	22.365567	sample_lat_lon	65.824900 N 22.365567 E	sample_lat_lon	65.824900 N 22.365567 E
SRS6700595	65.828402	22.37229	sample_lat_lon	65.828402 N 22.372290 E	sample_lat_lon	65.828402 N 22.372290 E
SRS6700606	65.832213	22.386933	sample_lat_lon	65.832213 N 22.386933 E	sample_lat_lon	65.832213 N 22.386933 E
SRS6700617	65.834887	22.402155	sample_lat_lon	65.834887 N 22.402155 E	sample_lat_lon	65.834887 N 22.402155 E
SRS6700624	65.82004	22.360242	sample_lat_lon	65.820040 N 22.360242 E	sample_lat_lon	65.820040 N 22.360242 E
SRS6700625	65.822378	22.376848	sample_lat_lon	65.822378 N 22.376848 E	sample_lat_lon	65.822378 N 22.376848 E
SRS6700626	65.824832	22.394288	sample_lat_lon	65.824832 N 22.394288 E	sample_lat_lon	65.824832 N 22.394288 E
SRS6920957	52.1751	0.1407	sample_lat_lon	52.1751 N 0.1407 E	sample_lat_lon	52.1751 N 0.1407 E
SRS7086293	59.5	23.15	sample_lat_lon	59.50000 N 23.15000 E	sample_lat_lon	59.50000 N 23.15000 E
SRS7086300	59.5	23.15	sample_lat_lon	59.50000 N 23.15000 E	sample_lat_lon	59.50000 N 23.15000 E
SRS7086304	59.5	23.15	sample_lat_lon	59.50000 N 23.15000 E	sample_lat_lon	59.50000 N 23.15000 E
SRS7086308	59.5	23.15	sample_lat_lon	59.50000 N 23.15000 E	sample_lat_lon	59.50000 N 23.15000 E
SRS7086312	59.5	23.15	sample_lat_lon	59.50000 N 23.15000 E	sample_lat_lon	59.50000 N 23.15000 E
SRS7086316	59.5	23.15	sample_lat_lon	59.50000 N 23.15000 E	sample_lat_lon	59.50000 N 23.15000 E
SRS7086320	59.5	23.15	sample_lat_lon	59.50000 N 23.15000 E	sample_lat_lon	59.50000 N 23.15000 E
SRS7086324	59.5	23.15	sample_lat_lon	59.50000 N 23.15000 E	sample_lat_lon	59.50000 N 23.15000 E
SRS7086328	59.5	23.15	sample_lat_lon	59.50000 N 23.15000 E	sample_lat_lon	59.50000 N 23.15000 E
SRS7086332	59.5	23.15	sample_lat_lon	59.50000 N 23.15000 E	sample_lat_lon	59.50000 N 23.15000 E
SRS7086336	59.5	23.15	sample_lat_lon	59.50000 N 23.15000 E	sample_lat_lon	59.50000 N 23.15000 E
SRS7086337	59.5	23.15	sample_lat_lon	59.50000 N 23.15000 E	sample_lat_lon	59.50000 N 23.15000 E
SRS7086338	59.5	23.15	sample_lat_lon	59.50000 N 23.15000 E	sample_lat_lon	59.50000 N 23.15000 E
SRS7086339	59.5	23.15	sample_lat_lon	59.50000 N 23.15000 E	sample_lat_lon	59.50000 N 23.15000 E
SRS7086356	59.5	23.15	sample_lat_lon	59.50000 N 23.15000 E	sample_lat_lon	59.50000 N 23.15000 E
SRS7086360	59.5	23.15	sample_lat_lon	59.50000 N 23.15000 E	sample_lat_lon	59.50000 N 23.15000 E
SRS7086364	59.5	23.15	sample_lat_lon	59.50000 N 23.15000 E	sample_lat_lon	59.50000 N 23.15000 E
SRS7086365	59.5	23.15	sample_lat_lon	59.50000 N 23.15000 E	sample_lat_lon	59.50000 N 23.15000 E
SRS7086372	59.5	23.15	sample_lat_lon	59.50000 N 23.15000 E	sample_lat_lon	59.50000 N 23.15000 E
SRS7086379	59.5	23.15	sample_lat_lon	59.50000 N 23.15000 E	sample_lat_lon	59.50000 N 23.15000 E
SRS7086380	59.5	23.15	sample_lat_lon	59.50000 N 23.15000 E	sample_lat_lon	59.50000 N 23.15000 E
SRS7086381	59.5	23.15	sample_lat_lon	59.50000 N 23.15000 E	sample_lat_lon	59.50000 N 23.15000 E
SRS7086387	59.5	23.15	sample_lat_lon	59.50000 N 23.15000 E	sample_lat_lon	59.50000 N 23.15000 E
SRS7040533	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040535	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040544	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040545	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040546	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040557	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040560	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040565	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040566	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040567	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040568	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040570	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040571	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040572	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040573	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040574	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040575	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040594	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040595	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040596	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040676	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040675	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040678	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040730	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040735	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040764	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040767	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040769	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040768	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040770	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040771	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040785	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040790	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040791	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7040792	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7042815	None	None	sample_lat_lon	not collected	sample_lat_lon	not collected
SRS7107047	35.2833	81.4833	sample_lat_lon	35.2833 N 81.4833 E	sample_lat_lon	35.2833 N 81.4833 E
SRS7109252	35.2833	81.4833	sample_lat_lon	35.2833 N 81.4833 E	sample_lat_lon	35.2833 N 81.4833 E
SRS7122945	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS7126470	-68.6063	78.1714	sample_lat_lon	68.6063 S 78.1714 E	sample_lat_lon	68.6063 S 78.1714 E
SRS7159351	45.93	8.55	sample_lat_lon	45.93 N 8.55 E	sample_lat_lon	45.93 N 8.55 E
SRS7159355	45.93	8.55	sample_lat_lon	45.93 N 8.55 E	sample_lat_lon	45.93 N 8.55 E
SRS7159363	45.93	8.55	sample_lat_lon	45.93 N 8.55 E	sample_lat_lon	45.93 N 8.55 E
SRS7159364	45.93	8.55	sample_lat_lon	45.93 N 8.55 E	sample_lat_lon	45.93 N 8.55 E
SRS7159385	45.93	8.55	sample_lat_lon	45.93 N 8.55 E	sample_lat_lon	45.93 N 8.55 E
SRS7159386	45.93	8.55	sample_lat_lon	45.93 N 8.55 E	sample_lat_lon	45.93 N 8.55 E
SRS7159396	45.93	8.55	sample_lat_lon	45.93 N 8.55 E	sample_lat_lon	45.93 N 8.55 E
SRS7159399	45.93	8.55	sample_lat_lon	45.93 N 8.55 E	sample_lat_lon	45.93 N 8.55 E
SRS7159405	46.172	8.191	sample_lat_lon	46.172 N 8.191 E	sample_lat_lon	46.172 N 8.191 E
SRS7159406	46.172	8.191	sample_lat_lon	46.172 N 8.191 E	sample_lat_lon	46.172 N 8.191 E
SRS7159412	46.172	8.191	sample_lat_lon	46.172 N 8.191 E	sample_lat_lon	46.172 N 8.191 E
SRS7210624	None	None	sample_lat_lon	missing	sample_lat_lon	missing
SRS7210623	None	None	sample_lat_lon	missing	sample_lat_lon	missing
SRS7342137	35.2833	81.4833	sample_lat_lon	35.2833 N 81.4833 E	sample_lat_lon	35.2833 N 81.4833 E
SRS7342144	35.2833	81.4833	sample_lat_lon	35.2833 N 81.4833 E	sample_lat_lon	35.2833 N 81.4833 E
SRS7351272	35.2833	81.4833	sample_lat_lon	35.2833 N 81.4833 E	sample_lat_lon	35.2833 N 81.4833 E
SRS7405012	None	None	sample_lat_lon	Not Applicable	sample_lat_lon	Not Applicable
SRS7405148	51.8238273	5.8679636	sample_lat_lon	51.8238273 N 5.8679636 E	sample_lat_lon	51.8238273 N 5.8679636 E
SRS7405149	51.8238273	5.8679636	sample_lat_lon	51.8238273 N 5.8679636 E	sample_lat_lon	51.8238273 N 5.8679636 E
SRS7411029	-68.5157	78.4429	sample_lat_lon	68.5157 S 78.4429 E	sample_lat_lon	68.5157 S 78.4429 E
SRS7411037	-68.5244	78.4083	sample_lat_lon	68.5244 S 78.4083 E	sample_lat_lon	68.5244 S 78.4083 E
SRS7436080	25.7	102.7	sample_lat_lon	25.70 N 102.70 E	sample_lat_lon	25.70 N 102.70 E
SRS7597003	-68.606	78.2217	sample_lat_lon	68.606 S 78.2217 E	sample_lat_lon	68.606 S 78.2217 E
SRS7670818	55.649	49.3083	sample_lat_lon	55.649 N 49.3083 E	sample_lat_lon	55.649 N 49.3083 E
SRS7704733	50.91	5.42	sample_lat_lon	50.91 N 5.42 E	sample_lat_lon	50.91 N 5.42 E
SRS7721699	None	None	sample_lat_lon	missing	sample_lat_lon	missing
SRS7752820	0.55	-29.21	sample_lat_lon	0.55 N 29.21 W	sample_lat_lon	0.55 N 29.21 W
SRS7854411	None	None	None	None	None	None
