sampleId	parsedLat	parsedLon	latFieldLabel	latFieldOriginalValue	lonFieldLabel	lonFieldOriginalValue
SRS2569909	45.85	18.29	sample_lat_lon	45.85 N 18.29 E	sample_lat_lon	45.85 N 18.29 E
SRS2569910	45.85	18.29	sample_lat_lon	45.85 N 18.29 E	sample_lat_lon	45.85 N 18.29 E
SRS2569913	45.85	18.29	sample_lat_lon	45.85 N 18.29 E	sample_lat_lon	45.85 N 18.29 E
SRS2569916	45.85	18.29	sample_lat_lon	45.85 N 18.29 E	sample_lat_lon	45.85 N 18.29 E
SRS2687706	46.75	12.1	sample_lat_lon	46.75 N 12.10 E	sample_lat_lon	46.75 N 12.10 E
SRS2687709	46.75	12.1	sample_lat_lon	46.75 N 12.10 E	sample_lat_lon	46.75 N 12.10 E
SRS2687711	46.75	12.1	sample_lat_lon	46.75 N 12.10 E	sample_lat_lon	46.75 N 12.10 E
SRS2687712	46.75	12.1	sample_lat_lon	46.75 N 12.10 E	sample_lat_lon	46.75 N 12.10 E
SRS2687715	46.75	12.1	sample_lat_lon	46.75 N 12.10 E	sample_lat_lon	46.75 N 12.10 E
SRS2687716	46.75	12.1	sample_lat_lon	46.75 N 12.10 E	sample_lat_lon	46.75 N 12.10 E
SRS2687717	46.75	12.1	sample_lat_lon	46.75 N 12.10 E	sample_lat_lon	46.75 N 12.10 E
SRS2687718	46.75	12.1	sample_lat_lon	46.75 N 12.10 E	sample_lat_lon	46.75 N 12.10 E
SRS2814229	38.9776	-107.0029	sample_lat_lon	38.9776 N 107.0029 W	sample_lat_lon	38.9776 N 107.0029 W
SRS2853729	61.7025833	-147.6231111	sample_lat_lon	61.7025833 N 147.6231111 W	sample_lat_lon	61.7025833 N 147.6231111 W
SRS5771633	77.987185	14.145691	sample_lat_lon	77.987185 N 14.145691 E	sample_lat_lon	77.987185 N 14.145691 E
SRS5771642	77.955638	14.211086	sample_lat_lon	77.955638 N 14.211086 E	sample_lat_lon	77.955638 N 14.211086 E
SRS5771678	77.95396	14.187531	sample_lat_lon	77.95396 N 14.187531 E	sample_lat_lon	77.95396 N 14.187531 E
SRS3037797	31.11	121.29	sample_lat_lon	31.11 N 121.29 E	sample_lat_lon	31.11 N 121.29 E
SRS3143224	47.662778	13.7875	sample_lat_lon	47.662778 N 13.7875 E	sample_lat_lon	47.662778 N 13.7875 E
SRS3209397	49.697	-93.722	sample_lat_lon	49.6970 N 93.7220 W	sample_lat_lon	49.6970 N 93.7220 W
SRS3340344	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS3553023	39.76	-86.15	sample_lat_lon	39.76 N 86.15 W	sample_lat_lon	39.76 N 86.15 W
SRS3663625	41.74518891415656	-111.80974960327148	sample_lat_lon	41.74518891415656 N 111.80974960327148 W	sample_lat_lon	41.74518891415656 N 111.80974960327148 W
SRS3726937	47.13	19.08	sample_lat_lon	47.13 N 19.08 E	sample_lat_lon	47.13 N 19.08 E
SRS4097962	47.13	19.08	sample_lat_lon	47.13 N 19.08 E	sample_lat_lon	47.13 N 19.08 E
SRS7403397	47.13	19.08	sample_lat_lon	47.13 N 19.08 E	sample_lat_lon	47.13 N 19.08 E
SRS3858216	76.430717	-68.3279	sample_lat_lon	76.430717 N 68.327900 W	sample_lat_lon	76.430717 N 68.327900 W
SRS3858238	76.544317	-68.457633	sample_lat_lon	76.544317 N 68.457633 W	sample_lat_lon	76.544317 N 68.457633 W
SRS3858248	76.544317	-68.457633	sample_lat_lon	76.544317 N 68.457633 W	sample_lat_lon	76.544317 N 68.457633 W
SRS3858251	76.544317	-68.457633	sample_lat_lon	76.544317 N 68.457633 W	sample_lat_lon	76.544317 N 68.457633 W
SRS3858252	76.544317	-68.457633	sample_lat_lon	76.544317 N 68.457633 W	sample_lat_lon	76.544317 N 68.457633 W
SRS3858277	76.544317	-68.457633	sample_lat_lon	76.544317 N 68.457633 W	sample_lat_lon	76.544317 N 68.457633 W
SRS3858294	76.544317	-68.457633	sample_lat_lon	76.544317 N 68.457633 W	sample_lat_lon	76.544317 N 68.457633 W
SRS3890100	47.62	122.02	sample_lat_lon	47.62 N 122.02 E	sample_lat_lon	47.62 N 122.02 E
SRS3890106	47.59	122.55	sample_lat_lon	47.59 N 122.55 E	sample_lat_lon	47.59 N 122.55 E
SRS3994733	36.478419	127.684389	sample_lat_lon	36.478419 N 127.684389 E	sample_lat_lon	36.478419 N 127.684389 E
SRS4081825	52.144	5.043	sample_lat_lon	52.144 N 5.043 E	sample_lat_lon	52.144 N 5.043 E
SRS4081843	52.144	5.043	sample_lat_lon	52.144 N 5.043 E	sample_lat_lon	52.144 N 5.043 E
SRS4081858	52.144	5.043	sample_lat_lon	52.144 N 5.043 E	sample_lat_lon	52.144 N 5.043 E
SRS4081894	52.144	5.043	sample_lat_lon	52.144 N 5.043 E	sample_lat_lon	52.144 N 5.043 E
SRS4124037	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS4124050	None	None	sample_lat_lon	not applicable	sample_lat_lon	not applicable
SRS4186214	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186218	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186233	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186242	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186243	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186246	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186247	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186248	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186249	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186254	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186255	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186266	78.88794	12.30781	sample_lat_lon	78.88794 N 12.30781 E	sample_lat_lon	78.88794 N 12.30781 E
SRS4186290	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186292	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186320	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186322	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186325	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186328	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186329	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186330	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186331	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186334	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186337	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186335	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186336	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186339	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186338	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186341	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186396	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186397	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186398	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186415	78.88794	12.30781	sample_lat_lon	78.88794 N 12.30781 E	sample_lat_lon	78.88794 N 12.30781 E
SRS4186428	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186434	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
